,Lon,Lat,Date,Station,Track
1,-66.91911,44.94434167,20-Sep,,
2,-66.91915,44.94431167,20-Sep,,
3,-66.91890667,44.944305,20-Sep,,
4,-66.91877167,44.94423667,20-Sep,,
5,-66.91850333,44.94436833,20-Sep,,
6,-66.91758667,44.944675,20-Sep,,
7,-66.91701667,44.94491,20-Sep,,
8,-66.91487833,44.94613667,20-Sep,,
9,-66.91432667,44.94648667,20-Sep,,
10,-66.91352,44.94709,20-Sep,,
11,-66.91299,44.94755833,20-Sep,,
12,-66.91261667,44.94795,20-Sep,,
13,-66.91203,44.94886833,20-Sep,,
14,-66.91179167,44.94913,20-Sep,,
15,-66.91112667,44.949665,20-Sep,,
16,-66.91069,44.949975,20-Sep,,
17,-66.91054667,44.95004167,20-Sep,,
18,-66.91039667,44.95006167,20-Sep,,
19,-66.91027,44.95002833,20-Sep,,
20,-66.90950333,44.94946167,20-Sep,,
21,-66.90880667,44.94898833,20-Sep,,
22,-66.905995,44.94734667,20-Sep,,
23,-66.90370667,44.946175,20-Sep,,
24,-66.90241667,44.94555167,20-Sep,,
25,-66.901125,44.94501833,20-Sep,,
26,-66.899505,44.94408667,20-Sep,,
27,-66.89582167,44.94225167,20-Sep,,
28,-66.89115167,44.93959167,20-Sep,,
29,-66.88956,44.93864833,20-Sep,,
30,-66.887665,44.93744667,20-Sep,,
31,-66.88598667,44.93631333,20-Sep,,
32,-66.88502667,44.93561167,20-Sep,,
33,-66.8827,44.93375333,20-Sep,,
34,-66.88092833,44.93227333,20-Sep,,
35,-66.87765,44.929335,20-Sep,,
36,-66.876505,44.92836667,20-Sep,,
37,-66.87287333,44.92511,20-Sep,,
38,-66.87149167,44.92393667,20-Sep,,
39,-66.86706667,44.91992167,20-Sep,,
40,-66.86585,44.91888333,20-Sep,,
41,-66.86237333,44.91572,20-Sep,,
42,-66.85981333,44.91331833,20-Sep,,
43,-66.85757667,44.91112333,20-Sep,,
44,-66.85396167,44.90776667,20-Sep,,
45,-66.85036333,44.90453667,20-Sep,,
46,-66.84964,44.903755,20-Sep,,
47,-66.84946667,44.903465,20-Sep,,
48,-66.84838667,44.90112,20-Sep,,
49,-66.847805,44.89966833,20-Sep,,
50,-66.84593833,44.89542667,20-Sep,,
