Data Start: 2020-09-20 19:09:43
Data End: 2020-09-20 19:13:54
Devicename: Multi Plankton Sampler MPS
IdentNo.: 1020

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: -8.585877E+2  Cal1: 1.175972E-1  Cal2: -1.044298E-6  Cal3: -1.441992E+0  Cal4: 9.253807E-5  Cal5: -8.766143E-10  Cal6: 7.97392E-2  Cal7: 7.856609E-2  Cal8: -1.359118E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0000 to 9.9000

Flow out [m/s]
Range1: 0.0000 to 9.9000

Flow ratio [%]
Range1: 0.00 to 200.00

Header Comment

Ship:		
Cruise:		
Station:		
Cast:		
Position:		
Operator:		


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Comments  [Index]
19:09:43	0	0.2	0	0.0000	0.0000	0.00	
19:09:44	0	0.2	0	0.0000	0.0000	0.00	
19:09:45	0	0.2	0	0.0000	0.0000	0.00	
19:09:46	0	0.2	0	0.0000	0.0000	0.00	
19:09:47	0	0.2	0	0.0000	0.0000	0.00	
19:09:48	0	0.2	0	0.0000	0.0000	0.00	
19:09:49	0	0.2	0	0.0000	0.0000	0.00	
19:09:50	0	0.2	0	0.0000	0.0000	0.00	
19:09:51	0	0.2	0	0.0000	0.0000	0.00	
19:09:52	0	0.2	0	0.0000	0.1000	0.00	
19:09:53	0	0.2	0	0.0000	0.1000	0.00	
19:09:54	0	0.2	0	0.0000	0.0000	0.00	
19:09:55	0	0.2	0	0.0000	0.0000	0.00	
19:09:56	0	0.2	0	0.0000	0.0000	0.00	
19:09:57	0	0.2	0	0.0000	0.0000	0.00	
19:09:58	0	0.2	0	0.0000	0.1000	0.00	
19:09:59	0	0.2	0	0.0000	0.3000	0.00	
19:10:00	0	0.2	0	0.0000	0.4000	0.00	
19:10:01	0	0.2	0	0.0000	0.7000	0.00	
19:10:02	0	0.2	0	0.0000	0.5000	0.00	
19:10:03	0	0.2	0	0.0000	0.1000	0.00	
19:10:04	0	0.2	0	0.0000	0.0000	0.00	
19:10:05	0	0.1	0	0.0000	0.1000	0.00	
